==PROF== Target process 594255 terminated before first instrumented API call.
==PROF== Connected to process 594127 (/usr/bin/python3.8)
==PROF== Target process 594633 terminated before first instrumented API call.
==PROF== Target process 594632 terminated before first instrumented API call.
==PROF== Target process 594631 terminated before first instrumented API call.
==PROF== Disconnected from process 594127
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","594127","python3.8","127.0.0.1","tvmgen_default_fused_nn_conv2d_add_nn_relu_kernel","2023-Jul-03 14:42:38","1","7","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","223,634"
"0","594127","python3.8","127.0.0.1","tvmgen_default_fused_nn_conv2d_add_nn_relu_kernel","2023-Jul-03 14:42:38","1","7","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","182,669"
"1","594127","python3.8","127.0.0.1","tvmgen_default_fused_nn_max_pool2d_kernel","2023-Jul-03 14:42:38","1","7","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","155,550"
"1","594127","python3.8","127.0.0.1","tvmgen_default_fused_nn_max_pool2d_kernel","2023-Jul-03 14:42:38","1","7","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","37,418"
"2","594127","python3.8","127.0.0.1","tvmgen_default_fused_nn_conv2d_add_nn_relu_1_kernel","2023-Jul-03 14:42:38","1","7","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","217,281"
"2","594127","python3.8","127.0.0.1","tvmgen_default_fused_nn_conv2d_add_nn_relu_1_kernel","2023-Jul-03 14:42:38","1","7","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","38,096"
"3","594127","python3.8","127.0.0.1","tvmgen_default_fused_nn_conv2d_add_add_nn_relu_kernel","2023-Jul-03 14:42:39","1","7","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","255,861"
"3","594127","python3.8","127.0.0.1","tvmgen_default_fused_nn_conv2d_add_add_nn_relu_kernel","2023-Jul-03 14:42:39","1","7","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","37,877"
"4","594127","python3.8","127.0.0.1","tvmgen_default_fused_nn_conv2d_add_nn_relu_1_kernel","2023-Jul-03 14:42:39","1","7","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","217,235"
"4","594127","python3.8","127.0.0.1","tvmgen_default_fused_nn_conv2d_add_nn_relu_1_kernel","2023-Jul-03 14:42:39","1","7","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","38,098"
"5","594127","python3.8","127.0.0.1","tvmgen_default_fused_nn_conv2d_add_add_nn_relu_kernel","2023-Jul-03 14:42:39","1","7","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","255,367"
"5","594127","python3.8","127.0.0.1","tvmgen_default_fused_nn_conv2d_add_add_nn_relu_kernel","2023-Jul-03 14:42:39","1","7","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","38,057"
