==PROF== Target process 2913871 terminated before first instrumented API call.
==PROF== Connected to process 2913464 (/usr/bin/python3.8)
==PROF== Target process 2916436 terminated before first instrumented API call.
==PROF== Target process 2916435 terminated before first instrumented API call.
==PROF== Target process 2916434 terminated before first instrumented API call.
==PROF== Disconnected from process 2913464
"ID","Process ID","Process Name","Host Name","Kernel Name","Kernel Time","Context","Stream","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2913464","python3.8","127.0.0.1","tvmgen_default_fused_nn_conv2d_add_nn_relu_kernel","2023-Jul-06 14:26:03","1","7","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","171,733"
"0","2913464","python3.8","127.0.0.1","tvmgen_default_fused_nn_conv2d_add_nn_relu_kernel","2023-Jul-06 14:26:03","1","7","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","282,664"
"1","2913464","python3.8","127.0.0.1","tvmgen_default_fused_nn_max_pool2d_kernel","2023-Jul-06 14:26:03","1","7","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","155,420"
"1","2913464","python3.8","127.0.0.1","tvmgen_default_fused_nn_max_pool2d_kernel","2023-Jul-06 14:26:03","1","7","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","38,164"
"2","2913464","python3.8","127.0.0.1","tvmgen_default_fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel","2023-Jul-06 14:26:03","1","7","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","44,956"
"2","2913464","python3.8","127.0.0.1","tvmgen_default_fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel","2023-Jul-06 14:26:03","1","7","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","84,753"
"3","2913464","python3.8","127.0.0.1","tvmgen_default_fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel_1","2023-Jul-06 14:26:04","1","7","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","246,086"
"3","2913464","python3.8","127.0.0.1","tvmgen_default_fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel_1","2023-Jul-06 14:26:04","1","7","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","104,788"
"4","2913464","python3.8","127.0.0.1","tvmgen_default_fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel_2","2023-Jul-06 14:26:04","1","7","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","87,123"
"4","2913464","python3.8","127.0.0.1","tvmgen_default_fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_kernel_2","2023-Jul-06 14:26:04","1","7","Command line profiler metrics","lts__t_sectors_op_write.sum","sector","121,626"
